width,length,weight,cost
275,85,845,-
20,60,50,91
40,90,59,35
80,20,98,5
50,10,12,55
50,90,5,36
20,40,6,73
20,70,41,49
60,20,35,24
70,80,53,70
80,100,8,43
30,90,39,21
80,30,44,66
100,40,78,57
50,60,28,82
20,50,27,51
80,60,50,64
40,40,94,61
100,90,7,52
30,80,91,42
20,60,6,4
20,80,97,22
90,70,17,41
90,10,36,100
50,100,18,49
70,40,31,21
40,70,31,89
30,70,26,42
50,70,83,91
30,60,70,77
80,20,30,56
10,30,2,20
90,60,1,1
30,60,13,69
80,100,77,10
30,90,8,75
50,10,88,53
80,30,29,74
20,90,63,44
50,90,85,9
40,30,35,4

