width,length,weight,cost
177,500,1451,-
80,50,30,16
50,80,17,46
50,60,33,87
90,70,87,76
70,10,89,15
80,20,17,50
80,50,31,11
10,50,6,88
20,40,27,90
10,80,56,86
50,30,43,0
90,80,24,23
90,50,92,68
40,30,70,55
20,40,80,67
40,30,37,2
10,10,2,41
30,10,55,88
70,40,15,71
40,20,11,46
90,70,21,17
70,60,65,66
10,30,79,32
70,40,6,34
20,60,8,92
20,80,44,4
60,90,63,77
100,50,26,81
40,80,25,80
50,100,22,36
60,50,77,37
90,20,52,78
50,20,32,41
20,40,22,82
40,80,60,3
90,70,49,84
30,60,3,93
90,10,9,59
10,60,32,42
90,60,23,11

